"SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30-59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60-89DaysPastDueNotWorse","NumberOfDependents","RevolvingUtilizationOfUnsecuredLines-Adjusted"
"0",0.9999999,25,0,0.27842867,1450,3,5,0,0,0,0
"1",0.9999999,29,0,0.182563542,3658,7,5,0,0,0,0
"1",0.9999999,44,0,0.00945076,7300,0,5,0,0,2,0
"0",0.9999999,32,0,0.313354364,950,2,5,0,0,0,0
"1",1.190101237,34,0,0.424708171,5139,4,5,1,0,3,0
"0",0.362660663,87,0,2453,5400,7,5,0,0,1,0
"0",0.9999999,61,0,0.138536221,2677,1,5,0,0,0,0
"1",0.9999999,53,0,943,5400,0,5,0,0,0,0
"0",0.39816743,38,0,729,5400,8,5,0,0,0,0
"0",0,62,0,660,5400,5,5,0,0,0,0
"0",0.9999999,62,0,336,5400,2,5,0,0,0,0
"0",1.715099715,38,0,0.223062382,4231,9,5,0,0,4,0
"0",0.9999999,29,0,0.09002148,5120,4,5,0,0,0,0
"1",0.9999999,40,0,0.154759022,4128,2,5,2,0,0,0
"0",1.596537949,25,0,0.293246445,3375,1,5,0,0,2,0
"1",0.9999999,28,0,157,5400,1,5,0,0,0,0
"0",0.652225054,40,0,2767,5400,4,5,1,0,0,0
"1",0.9999999,41,0,1365,5400,2,5,1,0,0,0
"0",0.9999999,32,0,0,2000,1,5,0,0,1,0
"1",0.841660261,41,0,68,5400,5,5,0,0,0,0
"0",0.9999999,26,0,0.034815581,2900,3,5,0,0,0,0
"1",0.9999999,55,0,1668,5400,2,5,2,0,0,0
"1",1.092133855,51,0,0.740740741,3914,7,5,2,0,3,0
"1",0.641294006,47,1,684,0,5,5,0,0,0,0
"1",0.836938738,40,0,0.149403641,4778,10,5,0,0,0,0
"1",0.9999999,50,2,0.188844731,7296,8,5,0,0,1,0
"1",0.986575264,47,1,3205,5400,9,5,1,0,0,0
"1",1.033611442,33,0,0.707085464,1368,5,4,0,3,2,0
"1",0.9999999,44,0,0.440790761,5108,3,4,1,3,2,0
"1",0.9999999,32,0,1494,5400,4,4,0,3,0,0
"0",0.939197406,41,0,0.330119442,6948,7,4,0,3,4,0
"1",1.660678643,33,2,2303,5400,8,4,0,2,0,0
"1",0.915246167,50,2,0.460296097,5200,8,4,1,2,1,0
"1",0.9999999,58,2,974,5400,5,4,1,2,0,0
"1",0.717131474,46,1,0.831763699,2335,5,4,1,2,3,0
"0",0.290923348,51,1,5168,5400,6,4,3,2,0,0
"1",1.007795289,38,1,0.225884096,5400,6,4,0,2,0,0
"1",1.474525475,34,1,0.371653543,1269,8,4,0,2,1,0
"1",0.903809781,43,1,1.282418457,3770,7,4,3,2,2,0
"1",0.941058941,39,1,0.119104542,4600,7,4,0,2,2,0
"1",0.193247126,53,1,0.504998781,4100,7,4,2,2,2,0
"1",1.357939254,43,1,0.433028788,5800,6,4,2,2,4,0
"0",1.212624585,36,1,0.356738769,3004,5,4,0,2,1,0
"1",0.9999999,31,0,419,5400,3,4,0,2,0,0
"1",0.996379934,41,0,0.291991005,5780,5,4,1,2,2,0
"1",0.757475083,55,0,0.484175458,1800,7,4,2,2,0,0
"1",0.906290957,57,0,2158,5400,5,4,2,2,6,0
"1",0.988687007,46,0,0.47656648,3925,5,4,0,2,3,0
"1",0.9999999,51,0,0.526522593,4580,3,4,2,2,0,0
"0",0,49,0,560,5400,7,4,0,2,2,0
"1",1.383270911,53,0,0.391481649,2206,5,4,0,2,2,0
"1",0.568440409,54,0,1333,5400,3,4,0,2,0,0
"1",1.004579978,45,5,1.673565381,3188,5,4,1,1,0,0
"1",0.755122439,46,4,0.648972914,5500,7,4,1,1,0,0
"1",1.030881017,29,4,0.450211457,2600,6,4,0,1,0,0
"1",0.9999999,31,4,1082,5400,4,4,0,1,0,0
"1",0,60,4,0.920748614,4327,5,4,3,1,1,0
"1",1.186290323,29,4,0.689327668,4000,10,4,2,1,0,0
"0",0.887016141,52,3,0.274498567,6979,7,4,0,1,2,0
"1",1.264889629,60,3,0.29589372,5795,7,4,1,1,0,0
"0",0.845100754,36,3,0.944527736,2000,7,4,1,1,0,0
"1",1.201451906,57,2,1906,5400,9,4,1,1,0,0
"1",0.754439125,40,2,0.191532573,6400,10,4,0,1,1,0
"1",0.740129935,29,2,893,5400,4,4,0,1,1,0
"1",1.108254784,29,2,0.255561894,3505,5,4,0,1,2,0
"1",0.731926807,31,2,0.222364422,6250,4,4,0,1,0,0
"1",0.777508091,45,2,1700,5400,5,4,1,1,0,0
"0",1.965087282,45,2,0.201919232,2500,7,4,0,1,2,0
"1",0.9999999,51,2,0.189291269,4500,4,4,0,1,0,0
"0",0.979006998,40,2,0.764363031,1200,5,4,0,1,0,0
"1",0.9999999,59,1,0.966726619,1111,0,4,0,1,2,0
"1",0.975339088,54,1,0.488702929,3584,5,4,1,1,1,0
"1",0.929628918,41,1,1.116400857,4200,9,4,1,1,3,0
"1",0.801410106,49,1,0.071451154,3162,1,4,0,1,0,0
