Suburbio;Direccion;Piezas;tipo;Precio;Metodo;Vendedor;Fecha;Distancia;Codigo postal;habitaciones;Banos;Carros;AreaCons;AreaNoConstruida;AreaComun;Latitud;Longitud;Region;Propietario
Abbotsford;85 Turner St;2;h;1480000;S;Biggin;3/12/2016;79;3067;2;1;1;282;84;Yarra;-377996;1449984;Northern Metropolitan;4019
Abbotsford;25 Bloomburg St;2;h;1035000;S;Biggin;4/02/2016;85;3067;2;1;1;133;63;Yarra;-378079;1449934;Northern Metropolitan;4019
Abbotsford;5 Charles St;3;h;1465000;SP;Biggin;4/03/2017;72;3067;3;2;1;256;91;Yarra;-378093;1449944;Northern Metropolitan;4019
Abbotsford;40 Federation La;3;h;850000;PI;Biggin;4/03/2017;84;3067;3;2;1;171;94;Yarra;-377969;1449969;Northern Metropolitan;4019
Abbotsford;55a Park St;4;h;1600000;VB;Nelson;4/06/2016;76;3067;3;1;1;306;121;Yarra;-378072;1449941;Northern Metropolitan;4019
Abbotsford;129 Charles St;2;h;941000;S;Jellis;7/05/2016;75;3067;2;1;2;205;69;Yarra;-378041;1449953;Northern Metropolitan;4019
Abbotsford;124 Yarra St;3;h;1876000;S;Nelson;7/05/2016;45;3067;4;2;2;290;119;Yarra;-378024;1449993;Northern Metropolitan;4019
Abbotsford;98 Charles St;2;h;1636000;S;Nelson;8/10/2016;87;3067;2;1;3;238;98;Yarra;-37806;1449954;Northern Metropolitan;4019
Abbotsford;217 Langridge St;3;h;1000000;S;Jellis;8/10/2016;90;3067;;;1;148;69;;;;Northern Metropolitan;4019
Abbotsford;18a Mollison St;2;t;745000;S;Jellis;8/10/2016;92;3067;;;2;118;62;;;;Northern Metropolitan;4019
Abbotsford;6/241 Nicholson St;1;u;300000;S;Biggin;8/10/2016;95;3067;1;1;1;147;122;Yarra;-378008;1449973;Northern Metropolitan;4019
Abbotsford;10 Valiant St;2;h;1097000;S;Biggin;8/10/2016;76;3067;3;1;1;220;85;Yarra;-37801;1449989;Northern Metropolitan;4019
Abbotsford;403/609 Victoria St;2;u;542000;S;Dingle;8/10/2016;94;3067;;;1;130;52;;;;Northern Metropolitan;4019
Abbotsford;25/84 Trenerry Cr;2;u;760000;SP;Biggin;10/12/2016;80;3067;;;1;203;103;;;;Northern Metropolitan;4019
Abbotsford;106/119 Turner St;1;u;481000;SP;Purplebricks;10/12/2016;87;3067;;;1;145;75;;;;Northern Metropolitan;4019
Abbotsford;411/8 Grosvenor St;2;u;700000;VB;Jellis;12/11/2016;85;3067;2;2;1;135;78;Yarra;-37811;1450067;Northern Metropolitan;4019
Abbotsford;40 Nicholson St;3;h;1350000;VB;Nelson;12/11/2016;81;3067;3;2;2;195;74;Yarra;-378085;1449964;Northern Metropolitan;4019
Abbotsford;123/56 Nicholson St;2;u;750000;S;Biggin;12/11/2016;92;3067;2;2;1;151;93;Yarra;-378078;1449965;Northern Metropolitan;4019
Abbotsford;22 Park St;4;h;1985000;S;Biggin;12/11/2016;60;3067;;;1;352;92;;-378084;1449942;Northern Metropolitan;4019
Abbotsford;13/84 Trenerry Cr;1;u;500000;S;Biggin;12/11/2016;87;3067;;;1;170;102;;;;Northern Metropolitan;4019
Abbotsford;45 William St;2;h;1172500;S;Biggin;13/08/2016;88;3067;2;1;1;210;66;Yarra;-378084;1449973;Northern Metropolitan;4019
Abbotsford;7/20 Abbotsford St;1;u;441000;SP;Greg;14/05/2016;93;3067;1;1;1;153;91;Yarra;-378016;1449988;Northern Metropolitan;4019
Abbotsford;16 William St;2;h;1310000;S;Jellis;15/10/2016;61;3067;2;1;2;183;76;Yarra;-37809;1449976;Northern Metropolitan;4019
Abbotsford;42 Henry St;3;h;1200000;S;Jellis;16/07/2016;73;3067;3;2;1;137;58;Yarra;-378056;144993;Northern Metropolitan;4019
Abbotsford;250 Langridge St;2;t;847000;S;Jellis;16/07/2016;79;3067;;;1;157;98;;;;Northern Metropolitan;4019
