price;lotSize;age;landValue;livingArea;pctCollege;bedrooms;fireplaces;bathrooms;rooms;heating;fuel;sewer;waterfront;newConstruction;centralAir;built date;property code;mtrsmyroom;category
132500;0.09;42;50000;906;35;2;1;1;5;electric;electric;septic;No;No;No;21/08/1978;UC0101375548AWS38852;10181,2;Lx
181115;0.92;0;22300;1953;51;3;;2.5;6;hot water/steam;"gas ";septic;No;No;No;10/08/2020;UC0101385720AWS27109;4042,166667;Mx
132500;0.09;42;50000;906;35;2;1;1;5;electric;electric;" septic";No;No;No;21/08/1978;UC0101375548AWS38852;10181,2;Lx
181115;0.92;0;22300;1953;51;3;;2.5;6;hot water/steam;gas;septic;No;No;No;10/08/2020;UC0101385720AWS27109;4042,166667;Mx
109000;0.19;133;7300;1944;51;4;1;1;8;hot water/steam;gas;public/commercial;No;No;No;###############################################################################################################################################################################################################################################################;UC0101341673AWS22539;1155,5;S
155000;0.41;13;18700;1944;51;3;1;1.5;5;Hot Air;gas;septic;No;No;No;14/08/2007;UC0101157062AWS32877;4128,8;Mx
86060;0.11;0;15000;840;51;2;;1;3;hot air;gas;public/commercial;No;Yes;Yes;10/08/2020;UC0101533571AWS7743;5280;Mx
120000;0.68;31;14000;1152;22;4;1;1;8;hot air;gas;septic;No;No;No;18/08/1989;UC0101103438AWS70350;1894;S
153000;0.4;33;23300;2752;51;4;1;1.5;8;hot water/steam;oil;septic;No;No;No;19/08/1987;UC0101168218AWS98285;3256,5;Mx
170000;1.21;23;14600;1662;35;4;1;1.5;9;hot air;oil;septic;No;No;No;16/08/1997;UC0101876532AWS73689;1806,888889;S
90000;0.83;36000;22200;1632;51;3;;1.5;8;electric;electric;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101662465AWS28315;2979;S
122900;1.94;4;21200;1416;44;3;;1.5;6;Hot Air;gas;none;No;No;No;11/08/2016;UC010184669AWS41205;3769,333333;Mx
325000;2.29;123;12600;2894;51;7;;1;12;hot air;oil;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101116267AWS64742;1291,166667;S
120000;0.92;1;22300;1624;51;3;;2;6;hot air;gas;;No;No;No;11/08/2019;UC0101139589AWS17189;3987,333333;Mx
85860;8.97;13;4800;704;41;2;;1;4;electric;electric;septic;No;No;No;14/08/2007;UC0101448917AWS56045;1376;S
97000;0.11;153;3100;1383;57;3;;2;5;hot water/steam;gas;public/commercial;No;No;No;###############################################################################################################################################################################################################################################################;UC0101693298AWS93432;896,6;S
127000;0.14;9;300;1300;41;3;;1.5;8;Hot Air;oil;septic;No;No;No;13/08/2011;UC0101134907AWS90922;200;S
89900;0;88;2500;936;57;3;;1;4;hot water/steam;gas;public/commercial;No;No;No;1/09/1932;UC0101394696AWS25185;859;S
155000;0.13;9;300;1300;41;3;;1.5;7;hot air;oil;septic;No;No;No;13/08/2011;UC010111881AWS72050;228,5714286;S
253750;2;0;49800;2816;71;4;1;2.5;12;hot air;gas;none;No;No;Yes;10/08/2020;UC0101760786AWS11786;4384,666667;Mx
60000;0.21;82;8500;924;35;2;;1;6;hot water/steam;oil;septic;No;No;No;31/08/1938;UC0101169367AWS64470;1570,666667;S
87500;0.88;17;19400;1092;35;3;;1;6;Hot Air;oil;;No;No;No;15/08/2003;UC0101133460AWS57558;3415,333333;Mx
112000;1;12;8600;1056;35;3;;1;7;electric;electric;septic;No;No;No;13/08/2008;UC0101388630AWS3581;1379,428571;S
104900;0.43;21;5600;1600;39;3;;1.5;4;electric;electric;public/commercial;No;No;No;16/08/1999;UC0101682719AWS48931;1800;S
148635;0.32;1;6200;1576;39;3;;2.5;7;hot air;gas;septic;No;Yes;Yes;11/08/2019;UC0101117427AWS14902;1110,857143;S
150000;0.03;24;5100;2080;39;3;;2;6;hot air;oil;septic;No;No;No;16/08/1996;UC0101213970AWS57863;1196,666667;S
90400;0.36;16;5200;1600;39;3;;1.5;4;electric;electric;public/commercial;No;No;No;14/08/2004;UC0101646381AWS16919;1700;S
248800;4;28;5500;2224;39;4;;3;10;hot air;oil;septic;No;No;No;17/08/1992;UC0101882005AWS76339;772,4;S
135000;1.83;126;6000;1656;39;3;;1;6;hot water/steam;oil;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101827426AWS49116;1276;S
145000;3;26;4500;1170;39;4;;1.5;5;hot air;oil;septic;No;No;No;17/08/1994;UC0101726011AWS81050;1134;S
457000;0.43;53;2700;2461;39;4;1;2;10;hot air;oil;public/commercial;Yes;No;No;24/08/1967;UC0101758125AWS81837;516,1;S
140000;0.44;56;19400;1544;71;3;1;1.5;7;hot air;oil;septic;No;No;Yes;24/08/1964;UC0101826677AWS30678;2992;S
130000;1.24;51;24800;1220;71;2;2;1;4;hot water/steam;oil;septic;No;No;No;23/08/1969;UC0101817012AWS97238;6505;M
187000;0.46;3;15200;1858;52;3;1;2.5;7;hot air;gas;septic;No;No;No;11/08/2017;UC0101806912AWS22581;2436,857143;S
229000;0.87;9;41100;2219;64;3;1;2;8;hot air;gas;public/commercial;No;No;No;13/08/2011;UC0101153369AWS15935;5414,875;Mx
227000;1.8;201;25500;1876;52;3;;2.5;5;hot air;oil;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101540478AWS79903;5475,2;Mx
179900;0.46;1;15200;2026;52;4;1;2.5;6;hot air;gas;septic;No;No;No;11/08/2019;UC0101819612AWS34627;2871;S
169900;0.91;19;20200;1671;71;4;1;3;8;hot air;gas;septic;No;No;Yes;15/08/2001;UC0101759685AWS27537;2733,875;S
209900;0.46;1;15200;2060;52;4;1;2.5;7;hot air;gas;none;No;No;No;11/08/2019;UC0101162787AWS38269;2465,714286;S
169900;0.59;0;17300;1884;52;4;1;2.5;9;hot air;gas;septic;No;No;No;10/08/2020;UC0101106076AWS97034;2131,555556;S
293000;7.24;43;36600;2022;71;4;2;3;6;hot water/steam;gas;septic;No;No;No;21/08/1977;UC0101118040AWS23806;6437;M
245900;0.19;0;20700;2394;71;4;1;2.5;7;hot air;gas;none;No;No;Yes;10/08/2020;UC0101756236AWS94872;3299,142857;Mx
157000;0.46;45;20200;1390;71;3;1;1.5;6;hot air;gas;septic;No;No;No;22/08/1975;UC0101639189AWS57975;3598,333333;Mx
195000;0.41;32;27100;1954;71;4;;2.5;8;hot air;gas;septic;No;No;Yes;18/08/1988;UC0101329308AWS92397;3631,75;Mx
150000;0.78;54;24500;1554;71;3;1;1.5;5;hot air;oil;septic;No;No;Yes;24/08/1966;UC0101856003AWS71680;5210,8;Mx
234900;0.89;9;41600;1976;64;3;;2.5;6;hot air;gas;public/commercial;No;No;Yes;13/08/2011;UC0101459214AWS36460;7262,666667;M
279550;1.34;0;44400;2479;71;4;1;2.5;10;hot air;gas;septic;No;No;No;10/08/2020;UC0101283729AWS95963;4687,9;Mx
246500;1;0;17100;2714;71;4;1;2.5;9;hot air;gas;none;No;No;No;10/08/2020;UC010184664AWS77641;2201,555556;S
124000;1;98;15500;797;52;2;;1;3;hot air;oil;septic;No;No;No;4/09/1922;UC010138556AWS70046;5432,333333;Mx
138000;0.27;54;8900;1500;71;3;;2.5;7;hot water/steam;gas;;No;No;No;24/08/1966;UC0101681849AWS40005;1485,714286;S
290000;0.71;73;61000;1838;71;4;;2;8;hot air;oil;septic;Yes;No;No;29/08/1947;UC0101654765AWS22608;7854,75;M
108000;0.9;48000;19000;1042;71;2;1;2;3;Hot Air;gas;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101902332AWS85296;6680,666667;M
134900;0.24;10;8000;1782;52;3;;2.5;6;hot air;gas;public/commercial;No;No;Yes;13/08/2010;UC0101981213AWS35961;1630,333333;S
64500;0.06;16;1600;1480;52;2;1;2.5;5;hot air;gas;public/commercial;No;No;No;14/08/2004;UC0101101472AWS77210;616;S
142000;0.55;20;13800;1426;52;3;1;2;6;hot air;gas;septic;No;No;No;15/08/2000;UC0101909515AWS42140;2537,666667;S
125000;0.34;32;11100;1404;52;3;;2;5;hot air;gas;septic;No;No;No;18/08/1988;UC010124809AWS91416;2500,8;S
88000;0.19;15;3400;1480;52;3;1;1.5;5;hot water/steam;gas;public/commercial;No;No;Yes;14/08/2005;UC0101525258AWS9183;976;S
135000;0.23;135;8100;1344;52;3;;1;5;hot water/steam;gas;public/commercial;No;No;No;###############################################################################################################################################################################################################################################################;UC0101683815AWS32700;1888,8;S
90000;0.07;14;1800;1480;52;2;1;2.5;5;hot air;gas;public/commercial;No;No;Yes;14/08/2006;UC0101871052AWS21079;656;S
90100;0.09;15;2400;1480;52;3;1;1.5;7;hot water/steam;gas;public/commercial;No;No;No;14/08/2005;UC0101380707AWS86623;554,2857143;S
126900;0.25;10;8400;1596;52;3;;2.5;6;hot air;gas;public/commercial;No;No;No;13/08/2010;UC010171373AWS42261;1666;S
175000;0.47;15;27200;1768;52;3;1;2;5;electric;electric;septic;No;No;No;14/08/2005;UC0101878184AWS73696;5793,6;M
158000;0.36;10;12100;1348;52;2;1;2;3;hot air;gas;public/commercial;No;No;Yes;13/08/2010;UC010120204AWS98108;4482,666667;Mx
92000;0.07;14;1800;1480;52;3;1;1.5;8;hot air;gas;public/commercial;No;No;No;14/08/2006;UC0101581960AWS44882;410;S
82800;0.11;225;3900;1483;52;3;;1;7;hot air;gas;public/commercial;No;No;No;###############################################################################################################################################################################################################################################################;UC0101481858AWS99680;769;S
140000;0.23;25;8300;1576;52;4;1;1.5;5;Hot Air;gas;public/commercial;No;No;Yes;17/08/1995;UC0101118867AWS61302;1975,2;S
171000;3.16;15;24100;1008;52;2;;1;7;electric;electric;septic;No;No;No;14/08/2005;UC0101954774AWS55371;3586,857143;Mx
200640;0.08;0;32000;2332;52;4;;2.5;9;hot air;gas;public/commercial;No;Yes;No;10/08/2020;UC0101453651AWS85216;3814,666667;Mx
139000;0.57;30;7500;1064;52;3;1;1;5;hot air;oil;septic;No;No;No;18/08/1990;UC0101123268AWS23988;1712,8;S
225000;0.5;12;15300;2428;52;4;1;2.5;11;hot air;gas;public/commercial;No;No;Yes;13/08/2008;UC0101647504AWS14408;1611,636364;S
182000;1;16;26600;1310;52;3;1;2;7;electric;electric;septic;No;No;No;14/08/2004;UC0101104886AWS79926;3987,142857;Mx
208767;0.5;0;32000;1662;52;3;;2;7;hot air;gas;public/commercial;No;Yes;Yes;10/08/2020;UC0101883304AWS54578;4808,857143;Mx
186000;0.55;0;4400;2000;52;4;;2.5;7;hot air;gas;public/commercial;No;Yes;No;10/08/2020;UC0101840781AWS54396;914,2857143;S
93000;0.1;14;2600;1480;52;3;1;1.5;6;hot air;gas;public/commercial;No;No;No;14/08/2006;UC0101852063AWS78172;680;S
257386;0.5;0;32000;2969;52;4;1;4;10;hot air;gas;public/commercial;No;Yes;Yes;10/08/2020;UC0101381708AWS89372;3496,9;Mx
161000;0.31;10;10400;1542;52;3;;2.5;5;hot air;gas;public/commercial;No;No;Yes;13/08/2010;UC0101103577AWS5822;2388,4;S
92000;0.28;18;6300;1527;52;4;;2;7;hot air;oil;septic;No;No;No;15/08/2002;UC0101777013AWS15621;1118,142857;S
211002;0.06;0;32000;2195;52;4;;2.5;8;hot air;gas;public/commercial;No;Yes;No;10/08/2020;UC0101969202AWS57565;4274,375;Mx
115000;0.06;14;1600;1480;52;3;1;1.5;6;hot air;gas;public/commercial;No;No;No;14/08/2006;UC010146945AWS30107;513,3333333;S
113000;0.46;53;9200;1452;52;3;;2;7;hot water/steam;oil;septic;No;No;Yes;24/08/1967;UC0101227455AWS64162;1521,714286;S
216300;0.1;0;32000;2360;52;4;;2.5;10;hot air;gas;public/commercial;No;Yes;No;10/08/2020;UC010173899AWS4040;3436;Mx
145000;2.12;32;19000;1440;52;3;1;1;8;hot air;oil;septic;No;No;No;18/08/1988;UC0101749482AWS50017;2555;S
114000;0.06;14;1600;1480;52;2;1;2.5;5;hot air;electric;public/commercial;No;No;No;14/08/2006;UC0101868745AWS32303;616;S
139050;0.21;125;7300;1879;52;3;;2.5;6;hot air;gas;public/commercial;No;No;No;###############################################################################################################################################################################################################################################################;UC0101876641AWS65440;1529,833333;S
104000;0.06;14;1600;1480;52;3;;1.5;6;hot air;gas;public/commercial;No;No;No;14/08/2006;UC0101418176AWS65045;513,3333333;S
169900;0.26;11;8700;1792;52;3;;2.5;8;hot air;gas;public/commercial;No;No;No;13/08/2009;UC0101478606AWS9933;1311,5;S
177900;0.29;2;25000;1386;44;3;;2.5;5;hot air;gas;septic;No;No;No;11/08/2018;UC0101499266AWS25417;5277,2;Mx
133000;1.29;14;10300;1676;44;2;1;2;3;hot air;electric;septic;No;No;Yes;14/08/2006;UC0101200799AWS11555;3992;Mx
185000;1;0;4000;768;22;4;;2;9;hot air;gas;septic;No;No;No;10/08/2020;UC0101435915AWS42855;529,7777778;S
115000;0.88;16;10000;1560;22;3;1;1.5;8;electric;electric;septic;No;No;Yes;14/08/2004;UC0101791668AWS22939;1445;S
100000;0.52;91;5000;1000;22;3;;1;6;hot air;oil;septic;No;No;No;2/09/1929;UC0101907215AWS74702;1000;S
117000;0.07;15;18900;1676;51;4;1;1.5;9;electric;electric;septic;No;No;No;14/08/2005;UC0101574862AWS63091;2286,222222;S
150000;0.32;11;19400;1656;51;3;;1.5;6;electric;electric;none;No;No;No;13/08/2009;UC0101121806AWS22930;3509,333333;Mx
