index,Barrio,BARRIOS_HECHO,lat,lon
0,"Malpaso, Bucaramanga, Colombia",MALPASO,7.12551689, -73.11826324
1,"Granjas de provenza, Bucaramanga, Colombia",GRANJAS DE PROVENZA,7.08495522, -73.11476898
2,"Provenza, Bucaramanga, Colombia",PROVENZA,7.08495522, -73.11476898
3,"Ciudad venecia, Bucaramanga, Colombia",CIUDAD VENECIA,8.2351923, -73.35509491
4,"Urbanizacion los naranjos, Bucaramanga, Colombia",Urbanizacion LOS NARANJOS,7.12551689, -73.11826324
5,"Ciudadela real de minas, Bucaramanga, Colombia",CIUDADELA REAL DE MINAS,7.12551689, -73.11826324
6,"La concordia, Bucaramanga, Colombia",LA CONCORDIA,7.10765362, -73.11735535
7,"Centro, Bucaramanga, Colombia",CENTRO,7.11813021, -73.12631226
8,"Cabecera del llano, Bucaramanga, Colombia",CABECERA DEL LLANO,7.11298704, -73.10932922
9,"Antonia santos centro, Bucaramanga, Colombia",ANTONIA SANTOS CENTRO,7.11813021, -73.12631226
10,"Girardot, Bucaramanga, Colombia",GIRARDOT,7.12551689, -73.11826324
11,"Alvarez las americas, Bucaramanga, Colombia",ÃLVAREZ LAS AMÃ‰RICAS,7.12551689, -73.11826324
12,"San alonso, Bucaramanga, Colombia",SAN ALONSO,7.12551689, -73.11826324
13,"San francisco, Bucaramanga, Colombia",SAN FRANCISCO,7.1331625, -73.12514496
14,"Mutualidad, Bucaramanga, Colombia",MUTUALIDAD,7.12551689, -73.11826324
15,"Villa helena i, Bucaramanga, Colombia",VILLA HELENA I,7.12551689, -73.11826324
16,"Villa helena ii, Bucaramanga, Colombia",VILLA HELENA II,7.12551689, -73.11826324
17,"Villa rosa, Bucaramanga, Colombia",VILLA ROSA,7.24193048, -73.5267334
18,"Delicias, Bucaramanga, Colombia",DELICIAS,7.12551689, -73.11826324
19,"La victoria, Bucaramanga, Colombia",LA VICTORIA,7.12551689, -73.11826324
20,"La salle, Bucaramanga, Colombia",LA SALLE,7.12551689, -73.11826324
21,"Nuevo sotomayor, Bucaramanga, Colombia",NUEVO SOTOMAYOR,7.12551689, -73.11826324
22,"Sotomayor, Bucaramanga, Colombia",SOTOMAYOR,7.12551689, -73.11826324
23,"Pan de azucar, Bucaramanga, Colombia",PAN DE AZÃšCAR,6.74840117, -72.7124176
24,"Bolivar, Bucaramanga, Colombia",BOLÃVAR,7.12551689, -73.11826324
25,"El jardin, Bucaramanga, Colombia",EL JARDÃN,7.12551689, -73.11826324
26,"El prado, Bucaramanga, Colombia",EL PRADO,7.12551689, -73.11826324
27,"El cristal, Bucaramanga, Colombia",EL CRISTAL,7.12551689, -73.11826324
28,"Universidad, Bucaramanga, Colombia",UNIVERSIDAD,7.12551689, -73.11826324
29,"Comuneros, Bucaramanga, Colombia",COMUNEROS,7.12551689, -73.11826324
30,"Villa mercedes, Bucaramanga, Colombia",VILLA MERCEDES,8.53469467, -73.8897934
