ID;Ciudad;Barrio;Categoria_edificio;Impuesto_hoy;Bloque; Lote;Clase_construcion;Direccion; Num_apto;Codigo_postal;Latitud;Longitud;Unidades_residenciales;Unidades_comercial;Unidades_totales;Areapies_terreno;Area_construida_pie;Precio_pie_cuadrado;Fecha_construccion;Clase_impuesto_venta;Clase_edificio_venta;Precio_venta;Fecha_venta
4;Manhattan;ALPHABET CITY;07 RENTALS - WALKUP APARTMENTS             ;2A;392;6;C2;153 AVENUE B;SIN DATO;10009;40,72656934;-73,97985715;5;0;5;1633;6440;1028,73;1900;2;C2;6625000;19/07/2017 0:00
7;Manhattan;ALPHABET CITY;07 RENTALS - WALKUP APARTMENTS             ;2B;402;21;C4;154 EAST 7TH STREET;SIN DATO;10009;40,72537031;-73,98247679;10;0;10;2272;6794;579,37;1913;2;C4;3936272;23/09/2016 0:00
8;Manhattan;ALPHABET CITY;07 RENTALS - WALKUP APARTMENTS             ;2A;404;55;C2;301 EAST 10TH   STREET;SIN DATO;10009;40,72783223;-73,98162828;6;0;6;2369;4615;1733,48;1900;2;C2;8000000;17/11/2016 0:00
10;Manhattan;ALPHABET CITY;07 RENTALS - WALKUP APARTMENTS             ;2B;406;32;C4;210 AVENUE B;SIN DATO;10009;40,72860578;-73,97889681;8;0;8;1750;4226;755,52;1920;2;C4;3192840;23/09/2016 0:00
13;Manhattan;ALPHABET CITY;08 RENTALS - ELEVATOR APARTMENTS           ;2;387;153;D9;629 EAST 5TH STREET;SIN DATO;10009;40,72354477;-73,98072031;24;0;24;4489;18523;876,32;1920;2;D9;16232000;7/11/2016 0:00
15;Manhattan;ALPHABET CITY;08 RENTALS - ELEVATOR APARTMENTS           ;2B;400;21;D1;530-532 EAST 5TH STREET;SIN DATO;10009;40,72409135;-73,98313013;10;0;10;3717;12350;838,06;2009;2;D1;10350000;17/10/2016 0:00
26;Manhattan;ALPHABET CITY;09 COOPS - WALKUP APARTMENTS               ;2;376;14;C6;244 EAST 7TH STREET;SIN DATO;10009;40,72355529;-73,97817325;24;0;24;4131;16776;709,35;1928;2;C6;11900000;21/06/2017 0:00
176;Manhattan;ALPHABET CITY;14 RENTALS - 4-10 UNIT                     ;2A;391;19;S3;624 EAST 9TH   STREET;SIN DATO;10009;40,72564701;-73,9793379;3;1;4;1520;3360;982,14;1910;2;S3;3300000;15/11/2016 0:00
177;Manhattan;ALPHABET CITY;14 RENTALS - 4-10 UNIT                     ;2A;393;4;S4;165 AVENUE B;SIN DATO;10009;40,72703863;-73,97947096;4;1;5;2201;5608;1286,55;1900;2;S4;7215000;30/01/2017 0:00
;;;;;;;;;;;;;;;;;;;;;;;
